density_group,mean_physical,mean_accessible,mean_gap,conversion_ratio
Low-density,33.11352822197635,0.1451128324292236,32.96841538954713,0.43822824151041995
Medium-density,28.992927384375786,1.4134136050762218,27.579513779299564,4.87502895564077
High-density,20.549031556230698,1.9052525199259387,18.643779036304764,9.27173874210264
