density_group,physical_gb_m2,accessible_gb_A_m2,conversion_ratio_pct
Low-density,242956506.85096037,741555.584668713,0.30522153708919353
Medium-density,64390361.73921094,3685039.847053861,5.722968077083858
High-density,15321693.015839964,1844665.0013980875,12.039563770733592
