density_group,Physical Green-Blue Cover (%),Accessible Level A Cover (%),Physical-Access Gap (%),Conversion Ratio (%),Mean LST (°C)
Low-density,37.81429843218782,0.1154059853584224,37.6988924468294,0.3052215370891935,44.84481802799773
Medium-density,38.92126134595297,2.2274513620272676,36.6938099839257,5.722968077083858,47.587335635517114
High-density,23.84699302076259,2.8710739321371017,20.97591908862549,12.039563770733594,50.20764989128373
